CountryName,code,CoverageType,ppp_2005_v1_v1,ppp_2011_v1_v1,ppp_2011_v1_v2,ppp_2011_v2_v1,ppp_2011_v2_v2,ppp_2017_v1_v1,ppp_2017_v1_v2,ppp_2021_v1_v1,ppp_2021_v1_v2,source_ppp_2011,source_ppp_2005,datalevel,ppp_domain,ppp_domain_value,oldicp2005,oldicp2011,Seriesname,note_may192020,note_2017_v1_v2,source_2017_v2_v1,method_2017_v2_v1,ref_2017_v2_v1,link_2017_v2_v1,source_2021_v1_v1,method_2021_v1_v1,ref_2021_v1_v1,link_2021_v1_v1,note_2021_v1_v1
Switzerland,CHE,National,1.86504018306732178,1.6134190559387207,1.61341879200000005,1.53968679904938011,1.53968679904938011,1.35855591297149991,1.35855591297149991,1.24562752246857,1.24562752246857,1,1,2,1,1,1.87,1.61342,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Chile,CHL,National,387.36053466796875,391.644195556640625,391.644235100000003,386.817260742188012,386.817260742188012,478.995697021483977,478.995697021483977,474.340972900391023,474.340972900391023,1,1,2,1,1,387.361,391.644,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
China,CHN,National,,,3.69611183399999987,3.69751739501952992,3.69751739501952992,4.14664220809936968,4.14664220809936968,4.01282787322997958,4.01282787322997958,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
China,CHN,Rural,2.98300004005432129,3.03649997711181641,3.0365000000000002,,3.03922192587500017,3.81999999999999984,3.49501057639099999,,3.42486779562416244,4,4,0,2,2,2.983,3.0365,,"PPP paper 2017, Table A.2",,PIP,Imputation,Jolliffe et al. (2022),https://documents1.worldbank.org/curated/en/353811645450974574/pdf/Assessing-the-Impact-of-the-2017-PPPs-on-the-International-Poverty-Line-and-Global-Poverty.pdf,PIP,Imputation,Jolliffe et al. (forthcoming),https://databank.worldbank.org/source/icp-2021,
China,CHN,Urban,4.08685016632080078,3.90429997444152832,3.9043000000000001,,3.90540017474899992,4.23299999999999965,4.31848441296200036,,4.19923716539986636,4,4,1,2,1,4.08685,3.9043,,"PPP paper 2017, Table A.2",,PIP,Imputation,Jolliffe et al. (2022),https://documents1.worldbank.org/curated/en/353811645450974574/pdf/Assessing-the-Impact-of-the-2017-PPPs-on-the-International-Poverty-Line-and-Global-Poverty.pdf,PIP,Imputation,Jolliffe et al. (forthcoming),https://databank.worldbank.org/source/icp-2021,
Cote d'Ivoire,CIV,National,325.808807373046875,235.687896728515625,235.687908300000004,243.460861206055,243.460861206055,247.134429931640995,247.134429931640995,238.539962768555,238.539962768555,1,1,2,1,1,,235.688,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Cameroon,CMR,National,294.496856689453125,230.37530517578125,230.37526969999999,242.678268432616989,242.678268432616989,236.911529541015995,236.911529541015995,201.492889404296989,201.492889404296989,1,1,2,1,1,,230.375,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
"Congo, Democratic Republic of",COD,National,316.23199462890625,537.732421875,537.732345900000041,546.731811523437955,546.731811523437955,630.605529785156023,630.605529785156023,928.602478027343977,928.602478027343977,1,,2,1,1,,537.732,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
"Congo, Republic of",COG,National,375.570709228515625,296.50030517578125,296.500286200000005,303.724060058593977,303.724060058593977,285.969329833983977,285.969329833983977,242.333999633789006,242.333999633789006,1,1,2,1,1,,296.5,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Cook Islands,COK,National,,,,1.56361535994034995,1.56361535994034995,,,,,,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,,,,,,,,,
Colombia,COL,National,1191.7421875,1196.9549560546875,1196.95462999999995,1210.9931640625,1210.9931640625,1419.37426757813,1419.37426757813,1506.55224609375,1506.55224609375,1,1,2,1,1,1191.74,1196.95,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
